job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,year_graduated,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Last_achievement_%,Achievement_above_100%_during3quartal,Best Performance
JG04,1.29228479833201,PG03,1.29228479833201,1.1916375287813001,RM_type_A,2,1991,Y,1,level_1,8.69,2009,2,2,3,0,3,0,42.71,0.0,0
JG05,2.82842712474619,PG06,1.0,1.22474487139159,RM_type_A,2,1967,Y,3,level_1,0.0,1988,27,5,6,0,2,3,53.71,0.0,1
JG04,2.82842712474619,PG04,2.82842712474619,1.6822603841260702,RM_type_A,2,1964,Y,3,level_1,0.0,1983,34,9,9,0,3,2,46.56,0.0,0
JG04,1.22474487139159,PG03,1.22474487139159,1.15325625946708,RM_type_B,1,1991,N,0,level_1,0.0,2009,2,2,2,0,2,1,45.16,0.0,1
JG05,2.82842712474619,PG06,2.1213203435596397,1.4142135623731003,RM_type_A,2,1965,Y,3,level_1,0.0,1985,29,13,5,1,3,0,40.1,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,1.47309198626562,RM_type_B,1,1994,N,0,level_1,0.0,2012,2,1,2,0,3,0,42.6,0.0,0
JG04,1.15325625946708,PG03,1.15325625946708,1.5556349186104,RM_type_A,2,1990,Y,1,level_1,0.0,2008,2,1,3,0,1,0,49.91,0.0,0
JG04,1.3527749258468702,PG03,1.3527749258468702,1.1180339887498998,RM_type_B,2,1991,Y,1,level_1,0.0,2009,3,2,2,0,3,2,13.71,0.0,0
JG04,1.3228756555323,PG03,1.3228756555323,1.5,RM_type_A,2,1990,Y,2,level_1,0.0,2008,2,2,3,0,3,0,46.56,0.0,0
JG05,2.82842712474619,PG07,2.82842712474619,0.0,RM_type_A,1,1967,Y,3,level_1,0.0,1986,31,11,8,7,1,3,91.95,2.0,0
JG05,2.82842712474619,PG06,2.44948974278318,0.707106781186548,RM_type_A,2,1965,Y,3,level_1,0.0,1985,28,7,9,17,5,0,64.05,0.0,0
JG04,1.15325625946708,PG03,1.15325625946708,1.58113883008419,RM_type_B,1,1996,N,0,level_1,0.0,2013,3,1,2,0,2,2,102.38,1.0,0
JG04,1.22474487139159,PG03,1.22474487139159,1.1180339887498998,RM_type_B,2,1989,Y,1,level_1,0.0,2007,2,2,2,0,2,0,97.3,1.0,1
JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_B,2,1993,Y,0,level_1,0.0,2011,2,2,2,0,6,0,103.87,1.0,0
JG04,1.2569805089976498,PG03,1.2569805089976498,1.5,RM_type_B,2,1986,Y,1,level_1,0.0,2004,2,1,2,0,4,0,78.2,0.0,1
JG04,1.29228479833201,PG03,1.29228479833201,1.22474487139159,RM_type_A,2,1988,Y,0,level_1,45.0,2015,7,3,5,0,7,0,88.45,3.0,0
JG05,1.4142135623731003,PG05,1.4142135623731003,1.1916375287813001,RM_type_A,2,1977,Y,1,level_1,45.29,1995,18,12,9,11,10,2,66.03,0.0,0
JG05,2.82842712474619,PG06,2.34520787991171,1.4142135623731003,RM_type_A,2,1976,Y,2,level_1,44.83,1995,22,8,7,6,6,0,73.73,2.0,0
JG05,2.3979157616563596,PG05,1.0,1.22474487139159,RM_type_A,2,1975,Y,3,level_1,0.0,1992,22,10,8,5,3,1,70.74,0.0,0
JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_B,1,1995,N,0,level_1,8.1,2013,3,2,2,0,2,0,73.87,0.0,0
JG04,2.73861278752583,PG04,2.82842712474619,0.707106781186548,RM_type_A,2,1965,Y,2,level_1,0.0,1986,30,5,10,0,10,11,28.33,0.0,0
JG05,1.3228756555323,PG05,1.3228756555323,2.1213203435596397,RM_type_A,1,1975,Y,1,level_1,30.73,1995,22,5,7,0,8,1,59.75,0.0,0
JG05,2.6925824035672496,PG06,2.34520787991171,1.1916375287813001,RM_type_A,2,1967,Y,2,level_1,0.0,1987,29,9,7,0,2,0,88.32,1.0,1
JG04,1.6062378404209,PG03,1.6062378404209,0.707106781186548,RM_type_B,2,1977,Y,2,level_1,0.0,1996,5,4,5,0,4,0,113.03,2.0,0
JG04,1.2569805089976498,PG03,1.2569805089976498,1.58113883008419,RM_type_B,2,1975,Y,3,level_1,0.0,1993,5,2,5,0,6,0,64.05,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,1.22474487139159,RM_type_A,2,1988,Y,2,level_1,0.0,2006,5,3,3,2,3,1,121.61,3.0,0
JG05,2.82842712474619,PG06,2.34520787991171,0.91104335791443,RM_type_A,2,1966,Y,2,level_1,0.0,1985,28,9,7,1,3,0,99.97,2.0,1
JG04,1.6062378404209,PG03,1.6062378404209,1.0392304845413298,RM_type_A,2,1976,Y,2,level_1,0.0,1995,5,3,2,5,10,0,105.86,3.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.648074069840786,RM_type_C,2,1974,Y,2,level_1,0.0,2013,5,4,4,2,0,0,80.13,0.0,1
JG04,2.82842712474619,PG04,2.23606797749979,0.8660254037844392,RM_type_A,2,1969,Y,4,level_1,0.0,1987,28,13,8,1,3,0,88.74,2.0,0
JG05,2.82842712474619,PG06,2.82842712474619,1.8248287590894698,RM_type_A,1,1969,Y,2,level_1,0.0,1988,28,7,8,0,8,3,109.3,3.0,0
JG05,2.82842712474619,PG06,2.34520787991171,1.22474487139159,RM_type_A,2,1974,Y,1,level_1,43.57,1993,24,7,6,0,0,0,101.21,3.0,1
JG04,1.15325625946708,PG03,1.15325625946708,0.707106781186548,RM_type_B,2,1985,Y,1,level_1,0.0,2016,4,2,3,1,2,0,84.01,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_B,2,1986,Y,1,level_1,0.0,2005,3,2,2,0,5,2,109.65,1.0,0
JG04,1.15325625946708,PG03,1.15325625946708,1.58113883008419,RM_type_B,1,1990,Y,1,level_1,0.0,2008,3,1,2,0,2,1,65.35,0.0,0
JG04,1.1180339887498998,PG03,1.1180339887498998,1.1916375287813001,RM_type_B,1,1993,N,0,level_1,0.0,2011,2,2,2,0,1,1,59.13,0.0,0
JG04,1.15325625946708,PG03,1.15325625946708,1.1180339887498998,RM_type_A,2,1988,Y,1,level_1,0.0,2006,3,2,3,0,3,0,77.25,0.0,1
JG05,2.82842712474619,PG06,1.4142135623731003,0.648074069840786,RM_type_A,2,1965,Y,2,level_1,0.0,1985,27,10,7,0,4,0,52.5,0.0,0
JG04,1.15325625946708,PG03,1.15325625946708,0.707106781186548,RM_type_B,1,1996,N,0,level_1,0.0,2013,2,2,2,0,3,0,79.59,0.0,0
JG05,1.6340134638368202,PG06,0.0,1.22474487139159,RM_type_A,1,1968,Y,3,level_1,0.0,1987,25,14,9,1,2,0,98.86,3.0,1
JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,2,1975,Y,2,level_1,0.0,1994,23,12,6,3,3,2,101.44,3.0,0
JG05,2.82842712474619,PG06,1.8708286933869698,1.22474487139159,RM_type_A,2,1966,Y,2,level_1,0.0,1987,26,8,6,0,3,0,87.3,2.0,0
JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_C,2,1969,Y,3,level_1,0.0,1988,30,12,9,0,7,1,46.85,0.0,0
JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,2,1965,Y,3,level_1,6.18,1984,28,9,8,2,7,0,80.3,0.0,1
JG04,1.47309198626562,PG03,1.47309198626562,1.1916375287813001,RM_type_A,2,1986,Y,0,level_1,0.0,2004,6,6,3,0,5,14,112.79,3.0,1
JG04,1.0816653826392,PG03,1.0816653826392,1.22474487139159,RM_type_B,1,1991,Y,0,level_1,32.12,2009,7,4,4,0,4,4,69.09,0.0,0
JG05,2.82842712474619,PG06,1.22474487139159,0.707106781186548,RM_type_A,2,1964,Y,1,level_1,0.0,1982,36,10,6,0,0,0,116.01,3.0,0
JG04,1.6062378404209,PG03,1.6062378404209,0.707106781186548,RM_type_C,2,1980,Y,2,level_1,75.0,1998,7,7,3,0,0,0,72.14,0.0,0
JG05,2.73861278752583,PG06,2.54950975679639,1.1180339887498998,RM_type_A,2,1969,Y,2,level_1,0.0,1988,28,9,8,0,2,0,39.49,0.0,1
JG05,2.82842712474619,PG06,2.82842712474619,1.22474487139159,RM_type_A,2,1964,Y,3,level_1,0.0,1983,31,7,7,2,0,0,82.39,0.0,0
JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,1,1967,Y,4,level_1,0.0,1985,30,12,8,3,2,0,74.83,0.0,0
JG05,2.82842712474619,PG06,2.34520787991171,0.707106781186548,RM_type_A,2,1967,Y,3,level_1,0.0,1986,31,7,7,0,0,0,83.87,0.0,0
JG04,2.82842712474619,PG04,2.82842712474619,1.22474487139159,RM_type_A,1,1965,Y,2,level_1,0.0,1985,28,9,8,0,3,0,76.5,0.0,1
JG05,2.82842712474619,PG06,2.34520787991171,1.22474487139159,RM_type_A,2,1969,Y,3,level_1,0.0,1989,27,7,7,0,2,0,68.12,0.0,1
JG04,2.82842712474619,PG04,2.1213203435596397,0.0,RM_type_A,2,1976,Y,2,level_1,0.0,1995,23,8,9,2,0,0,45.55,0.0,0
JG05,2.82842712474619,PG06,0.0,1.5556349186104,RM_type_A,2,1967,Y,2,level_1,0.0,1989,27,7,4,0,5,0,65.96,0.0,0
JG05,2.82842712474619,PG06,1.0,1.70880074906351,RM_type_A,1,1968,Y,5,level_1,0.0,1987,29,6,5,1,1,0,71.43,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_A,2,1988,N,0,level_1,53.06,2006,5,4,3,4,6,1,81.55,0.0,0
JG05,2.82842712474619,PG06,2.23606797749979,1.58113883008419,RM_type_C,2,1968,Y,2,level_1,0.0,1988,28,14,8,2,5,2,53.57,0.0,0
JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,1,1969,Y,4,level_1,0.0,1987,30,9,5,0,10,0,76.49,0.0,0
JG05,1.9364916731037098,PG06,2.82842712474619,1.22474487139159,RM_type_A,2,1965,Y,3,level_1,0.0,1985,30,8,6,0,3,1,46.72,0.0,0
JG04,2.66082693913001,PG04,2.1213203435596397,1.58113883008419,RM_type_A,2,1974,Y,3,level_1,0.0,1994,23,7,7,0,0,1,62.86,0.0,0
JG04,2.82842712474619,PG04,2.1213203435596397,1.22474487139159,RM_type_B,1,1976,Y,2,level_1,0.0,1995,23,6,10,1,3,6,77.2,1.0,0
JG04,1.3856406460551,PG03,1.3856406460551,1.58113883008419,RM_type_A,2,1986,Y,1,level_1,0.0,2004,5,2,3,0,6,1,80.66,0.0,0
JG05,2.82842712474619,PG06,2.1213203435596397,1.84932420089069,RM_type_A,2,1976,N,0,level_1,0.0,1994,20,9,5,0,3,0,76.59,0.0,0
JG05,2.6925824035672496,PG06,2.34520787991171,1.58113883008419,RM_type_A,2,1971,Y,3,level_1,7.0,1990,27,10,7,0,5,0,62.09,0.0,0
JG05,2.82842712474619,PG06,2.34520787991171,0.707106781186548,RM_type_A,2,1966,Y,2,level_1,0.0,1986,29,5,7,9,6,1,95.78,2.0,1
JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_B,2,1988,Y,0,level_1,0.0,2006,6,4,2,0,3,0,61.5,0.0,0
JG04,1.5,PG03,1.5,1.5556349186104,RM_type_C,2,1989,Y,0,level_1,25.87,2007,5,2,5,0,11,0,98.92,2.0,0
JG04,1.2569805089976498,PG03,1.2569805089976498,1.22474487139159,RM_type_A,1,1991,N,0,level_1,7.49,2008,2,3,5,0,0,1,58.4,0.0,0
JG04,2.82842712474619,PG04,2.82842712474619,1.5556349186104,RM_type_C,1,1971,Y,1,level_1,13.4,1991,25,7,8,0,9,1,71.41,0.0,0
JG04,1.0816653826392,PG03,1.0816653826392,0.707106781186548,RM_type_B,1,1995,N,0,level_1,0.0,2013,3,2,2,0,7,2,100.11,3.0,0
JG05,2.82842712474619,PG06,2.82842712474619,1.22474487139159,RM_type_A,2,1965,Y,4,level_1,6.36,1985,31,12,7,2,0,0,70.87,0.0,1
JG04,1.1180339887498998,PG03,1.1180339887498998,1.22474487139159,RM_type_B,1,1994,N,0,level_1,0.0,2013,3,2,2,0,3,2,69.12,0.0,0
JG05,2.82842712474619,PG06,1.22474487139159,1.22474487139159,RM_type_A,2,1977,Y,3,level_1,43.03,1996,22,10,6,9,3,1,35.06,0.0,0
JG04,1.0816653826392,PG03,1.0816653826392,1.22474487139159,RM_type_B,2,1993,N,0,level_1,0.0,2011,4,2,3,2,0,0,107.87,3.0,1
JG05,2.82842712474619,PG06,2.82842712474619,1.1916375287813001,RM_type_A,1,1963,Y,2,level_1,0.0,1983,31,9,10,2,4,0,45.08,0.0,0
JG05,2.82842712474619,PG06,2.44948974278318,1.5556349186104,RM_type_A,2,1968,Y,3,level_1,0.0,1988,29,7,6,0,6,0,77.38,0.0,0
JG05,2.82842712474619,PG06,2.82842712474619,0.41231056256176596,RM_type_C,1,1967,Y,2,level_1,0.0,1985,30,8,7,0,3,4,61.69,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_B,2,1989,Y,1,level_1,0.0,2007,3,2,2,0,1,0,43.42,0.0,0
JG04,1.1916375287813001,PG03,1.1916375287813001,0.707106781186548,RM_type_B,2,1996,N,0,level_1,0.0,2013,3,2,2,0,4,0,40.94,0.0,0
JG04,2.82842712474619,PG04,2.44948974278318,0.707106781186548,RM_type_A,2,1974,Y,2,level_1,0.0,1993,23,12,7,0,0,0,59.41,0.0,0
JG04,1.3527749258468702,PG03,1.3527749258468702,0.707106781186548,RM_type_B,2,1994,N,0,level_1,8.4,2012,3,2,2,0,0,0,76.38,0.0,0
JG05,2.82842712474619,PG06,1.58113883008419,0.648074069840786,RM_type_A,2,1963,Y,2,level_1,0.0,1983,30,13,7,0,4,3,54.93,0.0,0
JG04,1.4142135623731003,PG03,1.4142135623731003,0.707106781186548,RM_type_B,2,1992,Y,0,level_1,3.9,2010,2,3,2,0,0,0,64.94,0.0,0
JG04,1.2569805089976498,PG03,1.2569805089976498,0.648074069840786,RM_type_A,2,1981,Y,2,level_1,0.0,2000,6,5,2,0,1,0,56.44,0.0,0
JG04,1.4142135623731003,PG03,1.4142135623731003,0.648074069840786,RM_type_A,2,1987,Y,0,level_1,22.0,2005,7,4,3,1,0,0,80.41,0.0,0
JG05,2.23606797749979,PG06,2.82842712474619,1.22474487139159,RM_type_A,1,1969,Y,3,level_1,155.0,1988,30,7,7,0,6,0,73.24,0.0,0
JG05,2.8425340807103803,PG06,2.82842712474619,0.648074069840786,RM_type_A,2,1966,Y,3,level_1,0.0,1985,32,9,7,3,5,0,82.62,1.0,1
JG04,1.3856406460551,PG03,1.3856406460551,1.0,RM_type_A,2,1986,Y,2,level_1,0.0,2010,5,3,3,8,3,0,50.53,0.0,1
JG05,2.5651510676761298,PG06,1.8708286933869698,1.58113883008419,RM_type_A,1,1967,Y,3,level_1,0.0,1987,31,12,8,0,7,3,49.87,0.0,0
JG04,1.15325625946708,PG03,1.15325625946708,0.648074069840786,RM_type_A,2,1996,N,0,level_1,0.0,2014,3,3,3,0,3,1,67.21,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,1.0816653826392,RM_type_B,2,1990,Y,1,level_1,0.0,2010,2,2,2,3,3,0,56.12,0.0,0
JG04,2.82842712474619,PG04,2.44948974278318,1.5556349186104,RM_type_A,2,1976,Y,2,level_1,0.0,1995,24,7,7,6,8,0,45.47,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,1.52643375224737,RM_type_A,2,1993,Y,0,level_1,0.0,2011,2,1,3,0,6,0,55.26,0.0,0
JG04,1.22474487139159,PG03,1.22474487139159,0.707106781186548,RM_type_B,2,1988,N,0,level_1,0.0,2006,2,2,2,1,2,0,41.34,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_B,2,1988,N,0,level_1,0.0,2006,2,2,2,0,3,0,104.81,3.0,0
JG05,1.58113883008419,PG06,0.707106781186548,1.1180339887498998,RM_type_A,1,1976,Y,3,level_1,0.0,1994,24,11,11,0,3,0,59.62,0.0,1
JG04,1.15325625946708,PG03,1.15325625946708,1.58113883008419,RM_type_B,2,1991,Y,1,level_1,0.0,2010,3,1,2,3,3,0,94.09,2.0,0
JG05,2.82842712474619,PG06,2.82842712474619,1.1180339887498998,RM_type_A,2,1970,Y,2,level_1,0.0,1988,30,8,6,8,5,1,66.29,0.0,0
JG04,2.82842712474619,PG04,2.82842712474619,1.1180339887498998,RM_type_A,1,1973,Y,0,level_1,0.0,1991,25,8,9,4,0,0,59.83,0.0,1
JG04,1.3228756555323,PG03,1.3228756555323,0.648074069840786,RM_type_B,2,1990,N,0,level_1,0.0,2008,2,2,2,0,2,0,49.26,0.0,0
JG04,1.22474487139159,PG03,1.22474487139159,0.648074069840786,RM_type_B,2,1989,Y,1,level_1,0.0,2007,2,2,2,0,3,0,47.14,0.0,1
JG05,2.82842712474619,PG07,2.82842712474619,1.0,RM_type_A,1,1967,Y,4,level_1,0.0,1986,31,9,6,4,0,0,65.48,0.0,0
JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,2,1967,Y,2,level_1,0.0,1987,26,14,6,0,4,3,106.28,2.0,0
JG04,2.5651510676761298,PG04,2.82842712474619,1.58113883008419,RM_type_A,1,1973,Y,3,level_1,0.0,1992,25,19,8,0,0,1,65.38,0.0,0
JG04,2.34520787991171,PG04,1.22474487139159,1.5556349186104,RM_type_A,1,1979,Y,2,level_1,36.3,1998,19,10,6,0,2,0,78.52,0.0,0
JG05,2.82842712474619,PG06,1.8708286933869698,1.22474487139159,RM_type_A,1,1967,Y,2,level_1,0.0,1986,29,10,8,0,5,1,74.9,0.0,0
JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,2,1969,Y,2,level_1,0.0,1988,26,10,7,7,0,1,84.04,0.0,0
JG05,2.82842712474619,PG06,2.34520787991171,0.707106781186548,RM_type_A,2,1978,Y,1,level_1,47.35,1995,23,9,6,0,2,0,54.42,0.0,0
JG05,2.82842712474619,PG06,2.34520787991171,0.707106781186548,RM_type_A,2,1973,Y,2,level_1,0.0,1992,23,10,6,0,5,0,89.18,1.0,0
JG04,2.34520787991171,PG04,1.58113883008419,0.707106781186548,RM_type_A,2,1977,Y,2,level_1,44.56,1995,18,11,8,4,4,0,64.26,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.707106781186548,RM_type_A,2,1988,Y,0,level_1,0.0,2008,6,3,3,2,4,0,105.22,3.0,0
JG05,2.82842712474619,PG06,2.82842712474619,1.8248287590894698,RM_type_A,2,1963,Y,3,level_1,66.0,1984,31,7,6,0,6,0,68.59,0.0,1
JG05,2.82842712474619,PG06,2.82842712474619,0.8660254037844392,RM_type_A,2,1964,Y,3,level_1,0.0,1984,31,10,6,0,0,0,51.57,0.0,0
JG05,2.82842712474619,PG07,2.82842712474619,1.58113883008419,RM_type_A,1,1966,Y,3,level_1,0.0,1984,31,8,6,2,0,0,87.41,1.0,0
JG05,2.85832118559129,PG06,2.82842712474619,0.707106781186548,RM_type_A,1,1966,Y,2,level_1,0.0,1986,31,13,9,0,0,0,64.19,0.0,1
JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,1,1973,Y,1,level_1,13.43,1991,24,10,9,1,11,4,93.77,2.0,0
JG05,2.82842712474619,PG06,2.23606797749979,0.707106781186548,RM_type_A,1,1970,Y,1,level_1,0.0,1989,27,15,8,0,2,1,75.7,0.0,0
JG04,1.1180339887498998,PG03,1.1180339887498998,0.9591663046625442,RM_type_A,2,1985,Y,2,level_1,0.0,2003,6,4,3,1,5,0,67.8,0.0,0
JG04,1.1180339887498998,PG03,1.1180339887498998,0.707106781186548,RM_type_B,1,1995,Y,1,level_2,0.0,2014,3,2,2,1,3,1,23.77,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,0.707106781186548,RM_type_B,2,1988,Y,1,level_2,3.01,2010,4,3,3,0,3,3,70.29,0.0,0
JG04,2.82842712474619,PG04,2.82842712474619,0.707106781186548,RM_type_A,1,1972,Y,2,level_2,0.0,2003,24,9,7,0,2,1,63.95,0.0,0
JG04,2.82842712474619,PG04,2.1213203435596397,1.0,RM_type_A,2,1978,Y,2,level_2,3.01,1998,18,8,7,4,4,0,78.54,0.0,0
JG04,1.22474487139159,PG03,1.22474487139159,1.4142135623731003,RM_type_B,2,1989,Y,2,level_3,2.83,2011,5,3,2,0,0,1,62.63,2.0,1
JG04,1.3527749258468702,PG03,1.3527749258468702,1.4142135623731003,RM_type_A,2,1984,N,0,level_3,2.95,2008,5,2,3,0,0,0,58.59,2.0,0
JG05,2.44948974278318,PG06,2.0,0.707106781186548,RM_type_A,1,1970,Y,2,level_3,3.02,1992,26,7,10,2,5,0,20.1,0.0,1
JG05,2.23606797749979,PG06,1.73205080756888,1.78044938147649,RM_type_C,1,1971,Y,2,level_3,3.14,1994,22,9,7,4,4,0,37.8,0.0,1
JG04,1.6822603841260702,PG03,1.6822603841260702,1.52643375224737,RM_type_B,2,1985,Y,2,level_3,3.07,2006,7,3,3,0,0,0,68.95,0.0,0
JG04,1.3856406460551,PG03,1.3856406460551,0.9591663046625442,RM_type_A,2,1984,Y,0,level_3,0.0,2010,7,4,4,11,2,0,35.53,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,1.5556349186104,RM_type_A,2,1989,Y,0,level_3,3.32,2010,5,4,3,0,2,0,48.57,0.0,0
JG04,1.3527749258468702,PG03,1.3527749258468702,0.707106781186548,RM_type_A,2,1984,Y,1,level_3,3.27,2014,3,3,3,0,3,0,40.28,0.0,0
JG04,1.29228479833201,PG03,1.29228479833201,1.3856406460551,RM_type_A,2,1986,Y,0,level_3,3.08,2018,5,3,2,0,1,0,57.93,0.0,1
JG04,1.1180339887498998,PG03,1.1180339887498998,1.4142135623731003,RM_type_B,2,1985,Y,1,level_3,3.02,2010,6,5,3,0,2,0,78.9,0.0,0
JG04,1.3228756555323,PG03,1.3228756555323,1.22474487139159,RM_type_B,1,1990,N,0,level_3,3.0,2011,3,2,2,0,0,0,36.28,0.0,0
JG04,1.6062378404209,PG03,1.6062378404209,1.52643375224737,RM_type_A,2,1987,Y,0,level_3,3.29,2009,7,5,5,0,1,3,35.68,0.0,0
JG04,1.2569805089976498,PG03,1.2569805089976498,0.707106781186548,RM_type_B,2,1994,N,0,level_3,3.0,2015,3,2,2,0,0,0,40.77,0.0,0
JG04,0.648074069840786,PG03,0.648074069840786,0.707106781186548,RM_type_A,2,1987,Y,2,level_3,3.0,2007,3,2,2,0,0,0,13.0,0.0,0
JG04,1.1916375287813001,PG03,1.1916375287813001,1.4142135623731003,RM_type_B,2,1985,Y,3,level_3,3.0,2006,2,2,2,0,0,0,39.16,0.0,0
JG04,1.1916375287813001,PG03,1.1916375287813001,1.58113883008419,RM_type_B,2,1990,N,0,level_3,3.0,2011,2,1,2,0,1,1,13.86,0.0,0
JG04,1.1916375287813001,PG03,1.1916375287813001,1.22474487139159,RM_type_B,2,1989,N,0,level_3,3.0,2010,3,2,3,0,0,0,13.81,0.0,0
JG04,1.1916375287813001,PG03,1.1916375287813001,0.707106781186548,RM_type_B,2,1992,Y,0,level_3,3.0,2014,3,2,2,0,2,0,44.62,0.0,0
JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_A,2,1989,Y,1,level_3,3.24,2009,6,7,4,0,0,0,41.75,0.0,0
JG04,1.3228756555323,PG03,1.3228756555323,0.707106781186548,RM_type_B,2,1988,Y,1,level_3,3.0,2009,2,3,2,0,0,0,13.62,0.0,0
JG04,1.3527749258468702,PG03,1.3527749258468702,0.5,RM_type_B,1,1994,N,0,level_3,3.0,2015,3,3,2,0,3,2,14.0,0.0,0
